,1,2,3,4,5,6,7,8,9,10,11,12,,,630,630-blank,663,663-blank,750,750-blank
A,0.439,0.508,0.473,0.348,0.344,0.334,0.264,0.276,0.246,0.318,0.346,0.282,630,,0.4733333333,0.395,1.260333333,1.187,0.1663333333,0.102
B,0.287,0.381,0.373,0.353,0.358,0.426,0.46,0.458,0.462,0.469,0.41,0.333,630,,0.342,0.2636666667,0.6073333333,0.534,0.1523333333,0.088
C,0.342,0.451,0.479,0.408,0.391,0.392,0.557,0.484,0.476,0.658,0.559,0.468,630,,0.262,0.1836666667,0.3703333333,0.297,0.1176666667,0.05333333333
D,0.368,0.497,0.552,0.7,0.631,0.626,0.538,0.476,0.446,0.449,0.386,0.329,630,,0.3153333333,0.237,0.5636666667,0.4903333333,0.156,0.09166666667
E,0.552,0.567,0.608,0.446,0.412,0.435,0.705,0.68,0.614,0.417,0.349,0.336,630,,0.347,0.2686666667,0.55,0.4766666667,0.207,0.1426666667
F,0.224,0.189,0.189,0.197,0.191,0.175,0.277,0.267,0.271,0.179,0.17,0.225,630,,0.379,0.3006666667,0.6253333333,0.552,0.296,0.2316666667
G,0.244,0.217,0.234,0.212,0.221,0.202,0.236,0.232,0.223,0.275,0.369,0.358,630,,0.46,0.3816666667,1.001,0.9276666667,0.2816666667,0.2173333333
H,0.081,0.077,0.077,0.083,0.083,0.084,0.084,0.08,0.085,0.083,0.082,0.086,630,,0.404,0.3256666667,0.9266666667,0.8533333333,0.189,0.1246666667
,,,,,,,,,,,,,,,0.424,0.3456666667,1.037333333,0.964,0.228,0.1636666667
,1,2,3,4,5,6,7,8,9,10,11,12,,,0.397,0.3186666667,0.907,0.8336666667,0.261,0.1966666667
A,1.315,1.305,1.161,0.622,0.611,0.589,0.393,0.382,0.336,0.579,0.554,0.558,663,,0.5056666667,0.4273333333,1.132666667,1.059333333,0.2916666667,0.2273333333
B,0.482,0.581,0.587,0.608,0.588,0.68,1.026,0.989,0.988,1.044,0.885,0.851,663,,0.5616666667,0.4833333333,1.442333333,1.369,0.2473333333,0.183
C,0.97,1.05,1.092,0.941,0.89,0.89,1.226,1.096,1.076,1.616,1.363,1.348,663,,0.4723333333,0.394,1.232,1.158666667,0.1836666667,0.1193333333
D,1.178,1.225,1.293,1.95,1.798,1.791,1.082,1.008,0.961,1.097,0.966,0.968,663,,0.6523333333,0.574,1.846333333,1.773,0.2743333333,0.21
E,1.5,1.366,1.414,0.929,0.813,0.834,1.845,1.78,1.739,1.225,1.142,1.113,663,,0.4866666667,0.4083333333,1.017,0.9436666667,0.2126666667,0.1483333333
F,0.386,0.344,0.344,0.532,0.505,0.489,0.728,0.696,0.711,0.49,0.474,0.53,663,,0.388,0.3096666667,1.010333333,0.937,0.117,0.05266666667
G,0.704,0.659,0.689,0.535,0.538,0.509,0.668,0.658,0.645,0.765,0.847,0.827,663,,0.5756666667,0.4973333333,1.426666667,1.353333333,0.2276666667,0.1633333333
H,0.077,0.072,0.071,0.077,0.076,0.078,0.078,0.078,0.08,0.077,0.077,0.082,663,,0.431,0.3526666667,0.8586666667,0.7853333333,0.157,0.09266666667
,,,,,,,,,,,,,,,0.6663333333,0.588,1.788,1.714666667,0.2263333333,0.162
,1,2,3,4,5,6,7,8,9,10,11,12,,,0.3673333333,0.289,1.16,1.086666667,0.1106666667,0.04633333333
A,0.172,0.169,0.158,0.158,0.153,0.146,0.154,0.108,0.091,0.118,0.175,0.175,750,,0.2006666667,0.1223333333,0.358,0.2846666667,0.1283333333,0.064
B,0.154,0.195,0.272,0.273,0.278,0.337,0.282,0.281,0.282,0.285,0.128,0.154,750,,0.1876666667,0.1093333333,0.5086666667,0.4353333333,0.093,0.02866666667
C,0.139,0.245,0.3,0.274,0.253,0.256,0.343,0.279,0.253,0.349,0.201,0.192,750,,0.2716666667,0.1933333333,0.7116666667,0.6383333333,0.127,0.06266666667
D,0.115,0.153,0.283,0.32,0.261,0.242,0.286,0.201,0.151,0.121,0.115,0.115,750,,0.1913333333,0.113,0.498,0.4246666667,0.1003333333,0.036
E,0.242,0.218,0.223,0.159,0.148,0.164,0.24,0.226,0.213,0.123,0.108,0.101,750,,0.2316666667,0.1533333333,0.684,0.6106666667,0.09266666667,0.02833333333
F,0.148,0.117,0.12,0.098,0.097,0.084,0.13,0.124,0.127,0.088,0.084,0.129,750,,0.2116666667,0.1333333333,0.5273333333,0.454,0.1073333333,0.043
G,0.103,0.081,0.094,0.105,0.116,0.101,0.115,0.11,0.106,0.111,0.19,0.181,750,,0.2303333333,0.152,0.657,0.5836666667,0.1103333333,0.046
H,0.066,0.062,0.065,0.068,0.069,0.068,0.067,0.065,0.069,0.067,0.066,0.069,750,,0.334,0.2556666667,0.813,0.7396666667,0.1606666667,0.09633333333