Colony_ID,Sample,Diameter,Height,weight1.g,weight2.g,Notes
1,Coral,NA,NA,4.07,4.7373,
2,Coral,NA,NA,1.5416,1.9,
3,Coral,NA,NA,0.6201,0.8818,
4,Coral,NA,NA,4.6893,5.6307,
12,Coral,NA,NA,1.5257,1.7165,
19,Coral,NA,NA,4.3032,4.9166,
20,Coral,NA,NA,6.147,7.191,
201,Coral,NA,NA,2.5343,2.8677,
202,Coral,NA,NA,2.7791,3.1328,
203,Coral,NA,NA,6.0365,6.9954,
204,Coral,NA,NA,NA,NA,
205,Coral,NA,NA,NA,NA,
206,Coral,NA,NA,3.0603,3.7422,
209,Coral,NA,NA,1.2837,1.5193,
210,Coral,NA,NA,4.0902,4.696,
211,Coral,NA,NA,1.2066,1.4296,
213,Coral,NA,NA,0.4267,0.5697,
214,Coral,NA,NA,1.1367,1.8316,
221,Coral,NA,NA,4.0376,4.5926,
26,Coral,NA,NA,2.1564,2.4602,
27,Coral,NA,NA,2.6989,2.979,
28,Coral,NA,NA,NA,NA,
29,Coral,NA,NA,4.0736,4.5164,
41,Coral,NA,NA,2.4033,2.728,
42,Coral,NA,NA,5.8857,6.5585,
43,Coral,NA,NA,2.2429,2.5676,
44,Coral,NA,NA,2.0092,2.4049,
225,Coral,NA,NA,2.8119,3.2129,
226,Coral,NA,NA,2.0865,2.4038,
233,Coral,NA,NA,1.3446,1.4923,
234,Coral,NA,NA,3.3115,3.7323,
235,Coral,NA,NA,3.4514,3.8548,
236,Coral,NA,NA,2.8227,3.3671,
237,Coral,NA,NA,1.4809,1.7255,
238,Coral,NA,NA,2.1891,2.544,
239,Coral,NA,NA,1.3028,1.6278,
240,Coral,NA,NA,3.2409,3.6371,
241,Coral,NA,NA,NA,NA,
242,Coral,NA,NA,2.7957,3.0818,
243,Coral,NA,NA,2.286,2.5232,
244,Coral,NA,NA,NA,NA,
247,Coral,NA,NA,3.5516,4.0232,
248,Coral,NA,NA,3.6444,4.0961,
Standard1,Standard,0.9,14.8,6.7843,7.749,
Standard2,Standard,1.35,15.2,10.1502,11.5895,
Standard3,Standard,1.6,7.2,6.7504,8.0194,
Standard4,Standard,3.1,10.1,46.4102,49.703,
Standard5,Standard,0.5,14.8,2.7883,3.3493,