Date,Run,Temperature,Start.time,Stop.time,Notes
2023-09-22,1,18,8:30,9:30,
2023-09-22,1,22,9:54,10:52,
2023-09-22,1,25,11:14,12:14,
2023-09-22,1,28,12:35,13:35,
2023-09-22,1,31,13:54,14:54,for 31C incubation added a 50W heater - helped keep it at 31 (but maxes out there so can't use for next two)
2023-09-22,1,34,15:12,16:12,
2023-09-22,1,38,16:36,17:36,"by the end of the 38C run the corals started sloughing tissue, water cloudy, titrations took longer"
2023-09-23,2,18,7:52,8:52,
2023-09-23,2,22,9:20,10:20,
2023-09-23,2,25,10:37,11:37,
2023-09-23,2,28,12:02,13:02,
2023-09-23,2,31,13:23,14:23,
2023-09-23,2,34,14:50,15:50,
2023-09-23,2,38,16:07,17:07,
2023-09-24,3,18,8:05,9:05,
2023-09-24,3,22,9:22,10:22,
2023-09-24,3,25,10:45,11:45,"forgot to put in last row of corals, fixed in first 5 min of run"
2023-09-24,3,28,12:01,13:01,
2023-09-24,3,31,13:22,14:22,"put heater in the main water bath, didn't need except to counteract initial cooling of pouring the water in the main water bath"
2023-09-24,3,34,14:44,15:44,requires heater to stay that hot
2023-09-24,3,38,16:05,17:05,"At 38C - several corals start slightly positive or slightly negative, then slope gets increasingly negative over time; some start negative, then slope increases visibly after 20-30 min"
2023-09-25,4,18,8:10,9:10,
2023-09-25,4,22,9:28,10:28,
2023-09-25,4,25,10:46,11:46,
2023-09-25,4,28,12:04,13:04,
2023-09-25,4,31,13:24,14:24,
2023-09-25,4,34,14:44,15:44,
2023-09-25,4,38,16:02,17:02,
2023-09-26,5,18,8:11,9:11,
2023-09-26,5,22,9:30,10:30,
2023-09-26,5,25,10:47,11:47,
2023-09-26,5,28,12:05,13:05,
2023-09-26,5,31,13:26,14:26,
2023-09-26,5,34,14:43,15:43,
2023-09-26,5,38,16:01,17:01,