Measure temperature,Species,Phenotype,Measure temperature2,Target Temperature,Colony.ID,Time (minutes),Total duration (hours),Sample Volume (mL),Best avg alkalinity,Difference,Change in alkalinity_mean divided by 2,mol CaCO3h-1,umol CaCO3h-1,Frag volume (cm3),Total volume via displacement (cm3),Surface area coral (cm2),Surface area plug (cm2),Actual surface area (cm2),umol CaCO3h-1 cm-2,umol CaCO3h-1 cm-2 - blank
19.5,Montipora capitata,Susceptible,19.5,18,1,68,1.133333333,383.755,2193.3,-3.35,-1.675,-583.048001,-0.583048001,7.184801821,376.5701982,30.47991051,3.117221628,27.36268889,-0.02130814,
23.2,Montipora capitata,Susceptible,23.2,22,1,69,1.15,383.602,2192.55,12.4,6.2,2126.022354,2.126022354,7.184801821,376.4171982,30.47991051,3.117221628,27.36268889,0.077697859,
26.4,Montipora capitata,Susceptible,26.4,25,1,66,1.1,380.347,2150.95,12.15,6.075,2159.368227,2.159368227,7.184801821,373.1621982,30.47991051,3.117221628,27.36268889,0.078916522,
29.4,Montipora capitata,Susceptible,29.4,28,1,67,1.133333333,384.456,2170.45,26.65,13.325,4646.750059,4.646750059,7.184801821,377.2711982,30.47991051,3.117221628,27.36268889,0.169820666,
32.5,Montipora capitata,Susceptible,32.5,31,1,68,1.133333333,382.62,2163.25,24.6,12.3,4268.823819,4.268823819,7.184801821,375.4351982,30.47991051,3.117221628,27.36268889,0.15600893,
35.5,Montipora capitata,Susceptible,35.5,34,1,67,1.116666667,390.877,2167.7,26.65,13.325,4794.870657,4.794870657,7.184801821,383.6921982,30.47991051,3.117221628,27.36268889,0.175233899,
39.4,Montipora capitata,Susceptible,39.4,38,1,67,1.116666667,385.336,2205.25,-18.95,-9.475,-3361.153648,-3.361153648,7.184801821,378.1511982,30.47991051,3.117221628,27.36268889,-0.122837111,
19.5,Montipora capitata,Resistant,19.5,18,2,70,1.166666667,387.06,2177.3,22.2,11.1,3785.712213,3.785712213,9.4070409,377.6529591,39.72481155,3.117221628,36.60758992,0.103413315,
23.2,Montipora capitata,Resistant,23.2,22,2,69,1.15,377.333,2184,25.95,12.975,4376.505003,4.376505003,9.4070409,367.9259591,39.72481155,3.117221628,36.60758992,0.119551847,
26.4,Montipora capitata,Resistant,26.4,25,2,73,1.216666667,383,2131.15,51.1,25.55,8268.204,8.268204,9.4070409,373.5929591,39.72481155,3.117221628,36.60758992,0.225860375,
29.4,Montipora capitata,Resistant,29.4,28,2,67,1.116666667,385.616,2142.65,75.6,37.8,13418.88428,13.41888428,9.4070409,376.2089591,39.72481155,3.117221628,36.60758992,0.366560167,
32.5,Montipora capitata,Resistant,32.5,31,2,68,1.133333333,392.588,2167.8,35.6,17.8,6338.587288,6.338587288,9.4070409,383.1809591,39.72481155,3.117221628,36.60758992,0.173149538,
35.5,Montipora capitata,Resistant,35.5,34,2,70,1.166666667,381.876,2168.45,16.7,8.35,2809.669036,2.809669036,9.4070409,372.4689591,39.72481155,3.117221628,36.60758992,0.076750997,
39.4,Montipora capitata,Resistant,39.4,38,2,68,1.133333333,385.505,2201.85,-24.05,-12.025,-4204.850434,-4.204850434,9.4070409,376.0979591,39.72481155,3.117221628,36.60758992,-0.114862804,
19.5,Montipora capitata,Susceptible,19.5,18,3,69,1.15,387.514,2182.35,11.6,5.8,2009.142151,2.009142151,5.591989547,381.9220105,24.76646419,3.117221628,21.64924256,0.09280427,
23.2,Montipora capitata,Susceptible,23.2,22,3,70,1.166666667,382.47,2177.85,30.8,15.4,5189.964912,5.189964912,5.591989547,376.8780105,24.76646419,3.117221628,21.64924256,0.23972963,
26.4,Montipora capitata,Susceptible,26.4,25,3,69,1.15,385.644,2184.4,18.2,9.1,3137.063036,3.137063036,5.591989547,380.0520105,24.76646419,3.117221628,21.64924256,0.144904055,
29.4,Montipora capitata,Susceptible,29.4,28,3,69,1.15,375.471,2177.1,20.25,10.125,3398.339047,3.398339047,5.591989547,369.8790105,24.76646419,3.117221628,21.64924256,0.156972653,
32.5,Montipora capitata,Susceptible,32.5,31,3,69,1.15,384.801,2174.35,7.25,3.625,1246.922545,1.246922545,5.591989547,379.2090105,24.76646419,3.117221628,21.64924256,0.05759659,
35.5,Montipora capitata,Susceptible,35.5,34,3,70,1.166666667,380,2186.55,7,3.5,1171.92,1.17192,5.591989547,374.4080105,24.76646419,3.117221628,21.64924256,0.054132148,
39.4,Montipora capitata,Susceptible,39.4,38,3,67,1.116666667,374.692,2206.8,-27.35,-13.675,-4717.059105,-4.717059105,5.591989547,369.1000105,24.76646419,3.117221628,21.64924256,-0.217885642,
19.5,Montipora capitata,Resistant,19.5,18,4,68,1.133333333,382.69,2161.85,28.1,14.05,4877.068894,4.877068894,8.954781811,373.7352182,37.43827607,3.117221628,34.32105444,0.142101371,
23.2,Montipora capitata,Resistant,23.2,22,4,68,1.133333333,379.777,2172.5,32.45,16.225,5589.189279,5.589189279,8.954781811,370.8222182,37.43827607,3.117221628,34.32105444,0.162850162,
26.4,Montipora capitata,Resistant,26.4,25,4,66,1.1,382.973,2142.15,20.95,10.475,3749.06196,3.74906196,8.954781811,374.0182182,37.43827607,3.117221628,34.32105444,0.109235046,
29.4,Montipora capitata,Resistant,29.4,28,4,67,1.116666667,384.573,2141.8,55.3,27.65,9789.116298,9.789116298,8.954781811,375.6182182,37.43827607,3.117221628,34.32105444,0.285221898,
32.5,Montipora capitata,Resistant,32.5,31,4,68,1.133333333,381.126,2143.8,44.05,22.025,7614.124018,7.614124018,8.954781811,372.1712182,37.43827607,3.117221628,34.32105444,0.221849944,
35.5,Montipora capitata,Resistant,35.5,34,4,67,1.116666667,384.587,2167.1,27.25,13.625,4823.926402,4.823926402,8.954781811,375.6322182,37.43827607,3.117221628,34.32105444,0.140552978,
39.4,Montipora capitata,Resistant,39.4,38,4,67,1.116666667,378.471,2218.1,-31.8,-15.9,-5539.866438,-5.539866438,8.954781811,369.5162182,37.43827607,3.117221628,34.32105444,-0.161413061,
19.5,Montipora capitata,Resistant,19.5,18,12,71,1.183333333,379.353,2164.35,2.95,1.475,486.095454,0.486095454,7.524321089,371.8286789,29.03810725,3.117221628,25.92088563,0.018753042,
23.2,Montipora capitata,Resistant,23.2,22,12,74,1.233333333,384.98,2187.25,15.9,7.95,2551.043958,2.551043958,7.524321089,377.4556789,29.03810725,3.117221628,25.92088563,0.098416543,
26.4,Montipora capitata,Resistant,26.4,25,12,69,1.15,382.755,2157.2,34.55,17.275,5910.635842,5.910635842,7.524321089,375.2306789,29.03810725,3.117221628,25.92088563,0.228025999,
29.4,Montipora capitata,Resistant,29.4,28,12,66,1.1,350.28,2171.85,29.85,14.925,4885.737284,4.885737284,7.524321089,342.7556789,29.03810725,3.117221628,25.92088563,0.188486511,
32.5,Montipora capitata,Resistant,32.5,31,12,72,1.2,383.495,2165.35,21.8,10.9,3580.948478,3.580948478,7.524321089,375.9706789,29.03810725,3.117221628,25.92088563,0.138149156,
35.5,Montipora capitata,Resistant,35.5,34,12,70,1.166666667,386.55,2193.55,19.75,9.875,3363.481993,3.363481993,7.524321089,379.0256789,29.03810725,3.117221628,25.92088563,0.129759532,
39.4,Montipora capitata,Resistant,39.4,38,12,70,1.166666667,380.795,2208.6,-14.9,-7.45,-2499.734217,-2.499734217,7.524321089,373.2706789,29.03810725,3.117221628,25.92088563,-0.096437068,
19.5,Montipora capitata,Susceptible,19.5,18,19,71,1.183333333,369.9,2172.4,28.5,14.25,4579.153606,4.579153606,5.881418773,364.0185812,25.8183887,3.117221628,22.70116707,0.201714458,
23.2,Montipora capitata,Susceptible,23.2,22,19,72,1.2,380.659,2219.7,24.1,12.05,3929.479414,3.929479414,5.881418773,374.7775812,25.8183887,3.117221628,22.70116707,0.173095921,
26.4,Montipora capitata,Susceptible,26.4,25,19,70,1.166666667,369.517,2181.6,19.55,9.775,3182.713267,3.182713267,5.881418773,363.6355812,25.8183887,3.117221628,22.70116707,0.140200425,
29.4,Montipora capitata,Susceptible,29.4,28,19,71,1.183333333,371.343,2166.6,37.9,18.95,6113.226292,6.113226292,5.881418773,365.4615812,25.8183887,3.117221628,22.70116707,0.269291278,
32.5,Montipora capitata,Susceptible,32.5,31,19,71,1.183333333,388.179,2165.5,37.35,18.675,6297.652077,6.297652077,5.881418773,382.2975812,25.8183887,3.117221628,22.70116707,0.277415344,
35.5,Montipora capitata,Susceptible,35.5,34,19,72,1.2,392.101,2176.55,15.9,7.95,2670.40386,2.67040386,5.881418773,386.2195812,25.8183887,3.117221628,22.70116707,0.117632889,
39.4,Montipora capitata,Susceptible,39.4,38,19,70,1.166666667,385.852,2224.1,-25.6,-12.8,-4351.881392,-4.351881392,5.881418773,379.9705812,25.8183887,3.117221628,22.70116707,-0.191702981,
19.5,Montipora capitata,Resistant,19.5,18,20,68,1.133333333,362.121,2172.25,17.7,8.85,2906.915677,2.906915677,10.89889287,351.2221071,42.96845925,3.117221628,39.85123762,0.072944176,
23.2,Montipora capitata,Resistant,23.2,22,20,69,1.15,374.884,2178.8,26.15,13.075,4381.611593,4.381611593,10.89889287,363.9851071,42.96845925,3.117221628,39.85123762,0.109949197,
26.4,Montipora capitata,Resistant,26.4,25,20,67,1.116666667,371.519,2129.1,34,17,5814.327801,5.814327801,10.89889287,360.6201071,42.96845925,3.117221628,39.85123762,0.145900809,
29.4,Montipora capitata,Resistant,29.4,28,20,68,1.133333333,365.107,2137.15,59.95,29.975,9926.926438,9.926926438,10.89889287,354.2081071,42.96845925,3.117221628,39.85123762,0.249099577,
32.5,Montipora capitata,Resistant,32.5,31,20,69,1.15,376.708,2114.4,73.45,36.725,12366.93055,12.36693055,10.89889287,365.8091071,42.96845925,3.117221628,39.85123762,0.31032739,
35.5,Montipora capitata,Resistant,35.5,34,20,68,1.133333333,377.147,2160.9,33.45,16.725,5721.530749,5.721530749,10.89889287,366.2481071,42.96845925,3.117221628,39.85123762,0.143572222,
39.4,Montipora capitata,Resistant,39.4,38,20,68,1.133333333,378.624,2209.45,-23.15,-11.575,-3975.251328,-3.975251328,10.89889287,367.7251071,42.96845925,3.117221628,39.85123762,-0.099752268,
19.5,Porites compressa,Resistant,19.5,18,26,71,1.183333333,375.073,2155.55,11.75,5.875,1914.298634,1.914298634,8.342910523,366.7300895,27.9988947,3.117221628,24.88167307,0.07693609,
23.2,Porites compressa,Resistant,23.2,22,26,74,1.233333333,368.754,2170.45,32.7,16.35,5025.359579,5.025359579,8.342910523,360.4110895,27.9988947,3.117221628,24.88167307,0.201970324,
26.4,Porites compressa,Resistant,26.4,25,26,69,1.15,387.534,2148.95,42.8,21.4,7413.424324,7.413424324,8.342910523,379.1910895,27.9988947,3.117221628,24.88167307,0.29794718,
29.4,Porites compressa,Resistant,29.4,28,26,66,1.1,373.937,2150.9,50.8,25.4,8876.31254,8.87631254,8.342910523,365.5940895,27.9988947,3.117221628,24.88167307,0.356740984,
32.5,Porites compressa,Resistant,32.5,31,26,71,1.183333333,373.9,2148.3,38.85,19.425,6309.609896,6.309609896,8.342910523,365.5570895,27.9988947,3.117221628,24.88167307,0.253584631,
35.5,Porites compressa,Resistant,35.5,34,26,71,1.183333333,381.333,2172.8,40.5,20.25,6708.345685,6.708345685,8.342910523,372.9900895,27.9988947,3.117221628,24.88167307,0.269609912,
39.4,Porites compressa,Resistant,39.4,38,26,70,1.166666667,376.626,2206.3,-12.6,-6.3,-2090.726251,-2.090726251,8.342910523,368.2830895,27.9988947,3.117221628,24.88167307,-0.084026755,
19.5,Porites compressa,Susceptible,19.5,18,27,69,1.15,395.787,2179,20.5,10.25,3626.441408,3.626441408,7.886955258,387.9000447,26.88301901,3.117221628,23.76579738,0.152590774,
23.2,Porites compressa,Susceptible,23.2,22,27,69,1.15,383.414,2174.85,35.1,17.55,6015.065513,6.015065513,7.886955258,375.5270447,26.88301901,3.117221628,23.76579738,0.253097568,
26.4,Porites compressa,Susceptible,26.4,25,27,73,1.216666667,383.026,2127.9,54.35,27.175,8794.665233,8.794665233,7.886955258,375.1390447,26.88301901,3.117221628,23.76579738,0.37005555,
29.4,Porites compressa,Susceptible,29.4,28,27,67,1.116666667,381.352,2150.05,68.2,34.1,11971.53859,11.97153859,7.886955258,373.4650447,26.88301901,3.117221628,23.76579738,0.503729725,
32.5,Porites compressa,Susceptible,32.5,31,27,68,1.133333333,386.381,2163.3,40.1,20.05,7026.929421,7.026929421,7.886955258,378.4940447,26.88301901,3.117221628,23.76579738,0.295674044,
35.5,Porites compressa,Susceptible,35.5,34,27,70,1.166666667,382.34,2158.2,26.95,13.475,4539.675756,4.539675756,7.886955258,374.4530447,26.88301901,3.117221628,23.76579738,0.191017187,
39.4,Porites compressa,Susceptible,39.4,38,27,68,1.133333333,385.932,2194.35,-16.55,-8.275,-2896.771539,-2.896771539,7.886955258,378.0450447,26.88301901,3.117221628,23.76579738,-0.121888254,
19.5,Porites compressa,Resistant,19.5,18,28,70,1.166666667,380.156,2163.85,30.1,15.05,5041.324747,5.041324747,6.700760372,373.4552396,25.74793651,3.117221628,22.63071488,0.222764715,
23.2,Porites compressa,Resistant,23.2,22,28,70,1.166666667,379.308,2172.7,35.95,17.975,6007.686014,6.007686014,6.700760372,372.6072396,25.74793651,3.117221628,22.63071488,0.265466029,
26.4,Porites compressa,Resistant,26.4,25,28,69,1.15,385.333,2165.7,36.9,18.45,6355.179894,6.355179894,6.700760372,378.6322396,25.74793651,3.117221628,22.63071488,0.280820996,
29.4,Porites compressa,Resistant,29.4,28,28,68,1.133333333,386.166,2157.4,39.95,19.975,6996.748671,6.996748671,6.700760372,379.4652396,25.74793651,3.117221628,22.63071488,0.309170466,
32.5,Porites compressa,Resistant,32.5,31,28,68,1.133333333,385.053,2136.35,45.25,22.625,7902.136942,7.902136942,6.700760372,378.3522396,25.74793651,3.117221628,22.63071488,0.349177522,
35.5,Porites compressa,Resistant,35.5,34,28,70,1.166666667,375.028,2182.6,10.95,5.475,1809.231508,1.809231508,6.700760372,368.3272396,25.74793651,3.117221628,22.63071488,0.07994584,
39.4,Porites compressa,Resistant,39.4,38,28,67,1.116666667,378.559,2204.8,-25.35,-12.675,-4417.241117,-4.417241117,6.700760372,371.8582396,25.74793651,3.117221628,22.63071488,-0.195187874,
19.5,Porites compressa,Susceptible,19.5,18,29,71,1.183333333,374.532,2167.2,33.7,16.85,5482.452167,5.482452167,9.017203994,365.514796,27.14326638,3.117221628,24.02604475,0.228187878,
23.2,Porites compressa,Susceptible,23.2,22,29,73,1.216666667,374.118,2189.85,53.95,26.975,8526.907706,8.526907706,9.017203994,365.100796,27.14326638,3.117221628,24.02604475,0.354902681,
26.4,Porites compressa,Susceptible,26.4,25,29,70,1.166666667,378.726,2137.6,63.55,31.775,10603.68958,10.60368958,9.017203994,369.708796,27.14326638,3.117221628,24.02604475,0.441341456,
29.4,Porites compressa,Susceptible,29.4,28,29,71,1.183333333,372.495,2127.75,76.75,38.375,12418.09141,12.41809141,9.017203994,363.477796,27.14326638,3.117221628,24.02604475,0.51685958,
32.5,Porites compressa,Susceptible,32.5,31,29,71,1.183333333,372.044,2143.3,59.55,29.775,9623.478746,9.623478746,9.017203994,363.026796,27.14326638,3.117221628,24.02604475,0.400543612,
35.5,Porites compressa,Susceptible,35.5,34,29,71,1.183333333,375.632,2171.15,21.3,10.65,3475.347264,3.475347264,9.017203994,366.614796,27.14326638,3.117221628,24.02604475,0.144649163,
39.4,Porites compressa,Susceptible,39.4,38,29,71,1.183333333,371.936,2223.3,-24.8,-12.4,-4006.599363,-4.006599363,9.017203994,362.918796,27.14326638,3.117221628,24.02604475,-0.166760672,
19.5,Porites compressa,Susceptible,19.5,18,41,71,1.183333333,369.266,2154.85,46.05,23.025,7386.266569,7.386266569,13.16672412,356.0992759,44.26274305,3.117221628,41.14552142,0.179515688,
23.2,Porites compressa,Susceptible,23.2,22,41,73,1.216666667,366.805,2155.95,87.85,43.925,13613.46008,13.61346008,13.16672412,353.6382759,44.26274305,3.117221628,41.14552142,0.330861285,
26.4,Porites compressa,Susceptible,26.4,25,41,71,1.183333333,371.238,2084.75,116.4,58.2,18769.87694,18.76987694,13.16672412,358.0712759,44.26274305,3.117221628,41.14552142,0.456182746,
29.4,Porites compressa,Susceptible,29.4,28,41,71,1.183333333,357.426,2076.6,127.9,63.95,19856.95749,19.85695749,13.16672412,344.2592759,44.26274305,3.117221628,41.14552142,0.482603132,
32.5,Porites compressa,Susceptible,32.5,31,41,71,1.183333333,380.777,2094.85,108,54,17862.83901,17.86283901,13.16672412,367.6102759,44.26274305,3.117221628,41.14552142,0.434138113,
35.5,Porites compressa,Susceptible,35.5,34,41,71,1.183333333,376,2126.2,66.25,33.125,10820.06197,10.82006197,13.16672412,362.8332759,44.26274305,3.117221628,41.14552142,0.262970588,
39.4,Porites compressa,Susceptible,39.4,38,41,71,1.183333333,372.392,2221.25,-22.75,-11.375,-3679.914805,-3.679914805,13.16672412,359.2252759,44.26274305,3.117221628,41.14552142,-0.089436582,
19.5,Porites compressa,Resistant,19.5,18,42,71,1.183333333,383.505,2158.5,8.8,4.4,1465.918154,1.465918154,8.366347262,375.1386527,25.82563096,3.117221628,22.70840934,0.064553978,
23.2,Porites compressa,Resistant,23.2,22,42,74,1.233333333,382.804,2177,26.15,13.075,4171.870414,4.171870414,8.366347262,374.4376527,25.82563096,3.117221628,22.70840934,0.18371478,
26.4,Porites compressa,Resistant,26.4,25,42,69,1.15,386.915,2151.45,40.3,20.15,6969.247559,6.969247559,8.366347262,378.5486527,25.82563096,3.117221628,22.70840934,0.306901618,
29.4,Porites compressa,Resistant,29.4,28,42,65,1.083333333,382.757,2164.7,37,18.5,6719.328578,6.719328578,8.366347262,374.3906527,25.82563096,3.117221628,22.70840934,0.295896048,
32.5,Porites compressa,Resistant,32.5,31,42,71,1.183333333,390.012,2150.15,37,18.5,6268.097084,6.268097084,8.366347262,381.6456527,25.82563096,3.117221628,22.70840934,0.27602537,
35.5,Porites compressa,Resistant,35.5,34,42,70,1.166666667,389.555,2193.3,20,10,3432.536057,3.432536057,8.366347262,381.1886527,25.82563096,3.117221628,22.70840934,0.151157045,
39.4,Porites compressa,Resistant,39.4,38,42,70,1.166666667,386.885,2219.45,-25.75,-12.875,-4389.099786,-4.389099786,8.366347262,378.5186527,25.82563096,3.117221628,22.70840934,-0.193280812,
19.5,Porites compressa,Susceptible,19.5,18,43,69,1.15,383.16,2177.05,22.45,11.225,3844.694077,3.844694077,8.227855588,374.9321444,26.77330071,3.117221628,23.65607908,0.16252457,
23.2,Porites compressa,Susceptible,23.2,22,43,69,1.15,397.048,2166.35,43.6,21.8,7737.395217,7.737395217,8.227855588,388.8201444,26.77330071,3.117221628,23.65607908,0.327078515,
26.4,Porites compressa,Susceptible,26.4,25,43,73,1.216666667,387.69,2125.9,56.35,28.175,9229.326897,9.229326897,8.227855588,379.4621444,26.77330071,3.117221628,23.65607908,0.390146096,
29.4,Porites compressa,Susceptible,29.4,28,43,68,1.133333333,399.323,2141.95,76.3,38.15,13818.29054,13.81829054,8.227855588,391.0951444,26.77330071,3.117221628,23.65607908,0.584132751,
32.5,Porites compressa,Susceptible,32.5,31,43,68,1.133333333,395.535,2150.4,53,26.5,9507.498062,9.507498062,8.227855588,387.3071444,26.77330071,3.117221628,23.65607908,0.401905068,
35.5,Porites compressa,Susceptible,35.5,34,43,70,1.166666667,390.242,2166.15,19,9.5,3266.660033,3.266660033,8.227855588,382.0141444,26.77330071,3.117221628,23.65607908,0.138089665,
39.4,Porites compressa,Susceptible,39.4,38,43,67,1.116666667,399.43,2201.25,-23.45,-11.725,-4311.44742,-4.31144742,8.227855588,391.2021444,26.77330071,3.117221628,23.65607908,-0.182255369,
19.5,Porites compressa,Resistant,19.5,18,44,68,1.133333333,386.522,2164.75,25.2,12.6,4417.537201,4.417537201,6.681757764,379.8402422,23.29872243,3.117221628,20.1815008,0.218890421,
23.2,Porites compressa,Resistant,23.2,22,44,69,1.15,381.433,2180.5,24.45,12.225,4168.332992,4.168332992,6.681757764,374.7512422,23.29872243,3.117221628,20.1815008,0.20654227,
26.4,Porites compressa,Resistant,26.4,25,44,67,1.116666667,203.11,2118.05,45.05,22.525,4211.779905,4.211779905,6.681757764,196.4282422,23.29872243,3.117221628,20.1815008,0.208695079,
29.4,Porites compressa,Resistant,29.4,28,44,67,1.116666667,384.716,2130.2,66.9,33.45,11846.93302,11.84693302,6.681757764,378.0342422,23.29872243,3.117221628,20.1815008,0.587019426,
32.5,Porites compressa,Resistant,32.5,31,44,68,1.133333333,385.405,2119.9,67.95,33.975,11877.15057,11.87715057,6.681757764,378.7232422,23.29872243,3.117221628,20.1815008,0.588516716,
35.5,Porites compressa,Resistant,35.5,34,44,68,1.133333333,383.407,2167.15,27.2,13.6,4729.708752,4.729708752,6.681757764,376.7252422,23.29872243,3.117221628,20.1815008,0.234358624,
39.4,Porites compressa,Resistant,39.4,38,44,68,1.133333333,383.058,2198.1,-11.8,-5.9,-2049.991219,-2.049991219,6.681757764,376.3762422,23.29872243,3.117221628,20.1815008,-0.101577739,
19.5,Porites compressa,Susceptible,19.5,18,45,71,1.183333333,374.333,2152.45,14.85,7.425,2414.574385,2.414574385,6.745969959,367.58703,24.0071354,3.117221628,20.88991377,0.115585656,
23.2,Porites compressa,Susceptible,23.2,22,45,74,1.233333333,363.502,2165.1,38.05,19.025,5764.26735,5.76426735,6.745969959,356.75603,24.0071354,3.117221628,20.88991377,0.27593543,
26.4,Porites compressa,Susceptible,26.4,25,45,69,1.15,372.893,2138.4,53.35,26.675,8891.682223,8.891682223,6.745969959,366.14703,24.0071354,3.117221628,20.88991377,0.425644755,
29.4,Porites compressa,Susceptible,29.4,28,45,65,1.083333333,365.225,2133.8,67.9,33.95,11766.06612,11.76606612,6.745969959,358.47903,24.0071354,3.117221628,20.88991377,0.563241488,
32.5,Porites compressa,Susceptible,32.5,31,45,71,1.183333333,361.707,2135.4,51.75,25.875,8130.612969,8.130612969,6.745969959,354.96103,24.0071354,3.117221628,20.88991377,0.389212376,
