"","Colony_ID","Pmax","Date","Species","Phenotype","Year"
"1",3,1.871762046,2019-10-02,"Montipora capitata","Susceptible","2019"
"2",4,2.815177053,2019-10-02,"Montipora capitata","Resistant","2019"
"3",11,2.116906334,2019-10-02,"Montipora capitata","Susceptible","2019"
"4",12,2.178934039,2019-10-02,"Montipora capitata","Resistant","2019"
"5",19,2.129459254,2019-10-02,"Montipora capitata","Susceptible","2019"
"6",20,2.273994317,2019-10-02,"Montipora capitata","Resistant","2019"
"7",26,1.597675272,2019-10-02,"Porites compressa","Resistant","2019"
"8",27,3.224164378,2019-10-02,"Porites compressa","Susceptible","2019"
"9",35,2.165540655,2019-10-02,"Porites compressa","Susceptible","2019"
"10",36,4.083848722,2019-10-02,"Porites compressa","Resistant","2019"
"11",41,2.559149407,2019-10-02,"Porites compressa","Susceptible","2019"
"12",42,1.870121714,2019-10-02,"Porites compressa","Resistant","2019"
"13",43,4.019503335,2019-10-02,"Porites compressa","Susceptible","2019"
"14",44,3.756613722,2019-10-02,"Porites compressa","Resistant","2019"
"15",45,1.330950269,2019-10-02,"Porites compressa","Susceptible","2019"
"16",46,3.060363723,2019-10-02,"Porites compressa","Resistant","2019"
"17",201,2.145745813,2019-10-02,"Montipora capitata","Susceptible","2019"
"18",202,2.407116658,2019-10-02,"Montipora capitata","Resistant","2019"
"19",203,1.438345211,2019-10-02,"Montipora capitata","Susceptible","2019"
"20",204,2.382257056,2019-10-02,"Montipora capitata","Resistant","2019"
"21",209,1.701437451,2019-10-02,"Montipora capitata","Susceptible","2019"
"22",210,2.036363576,2019-10-02,"Montipora capitata","Resistant","2019"
"23",211,2.122026262,2019-10-02,"Montipora capitata","Susceptible","2019"
"24",212,2.386380734,2019-10-02,"Montipora capitata","Resistant","2019"
"25",217,2.285300692,2019-10-02,"Montipora capitata","Susceptible","2019"
"26",218,2.168639746,2019-10-02,"Montipora capitata","Resistant","2019"
"27",219,1.385691054,2019-10-02,"Montipora capitata","Susceptible","2019"
"28",220,1.889462972,2019-10-02,"Montipora capitata","Resistant","2019"
"29",221,3.318174391,2019-10-02,"Montipora capitata","Susceptible","2019"
"30",222,3.232010906,2019-10-02,"Montipora capitata","Resistant","2019"
"31",229,5.196341702,2019-10-02,"Porites compressa","Susceptible","2019"
"32",230,4.247365461,2019-10-02,"Porites compressa","Resistant","2019"
"33",237,1.876574233,2019-10-02,"Porites compressa","Susceptible","2019"
"34",238,3.871910525,2019-10-02,"Porites compressa","Resistant","2019"
"35",239,1.773643603,2019-10-02,"Porites compressa","Susceptible","2019"
"36",240,5.093829282,2019-10-02,"Porites compressa","Resistant","2019"
"37",243,2.40549668,2019-10-02,"Porites compressa","Susceptible","2019"
"38",244,5.235608833,2019-10-02,"Porites compressa","Resistant","2019"
"39",247,2.412944709,2019-10-02,"Porites compressa","Susceptible","2019"
"40",248,NA,2019-10-02,"Porites compressa","Resistant","2019"
"41",1,1.0726506978326,2023-09-14,"Montipora capitata","Susceptible","2023"
"42",19,1.94226434079575,2023-09-14,"Montipora capitata","Susceptible","2023"
"43",2,1.73947209600035,2023-09-14,"Montipora capitata","Resistant","2023"
"44",20,2.90325064235843,2023-09-14,"Montipora capitata","Resistant","2023"
"45",201,1.41653638786634,2023-09-15,"Montipora capitata","Susceptible","2023"
"46",202,1.48285041270448,2023-09-15,"Montipora capitata","Resistant","2023"
"47",203,2.05574399620809,2023-09-15,"Montipora capitata","Susceptible","2023"
"48",204,3.14985381731021,2023-09-15,"Montipora capitata","Resistant","2023"
"49",205,2.08588855103414,2023-09-15,"Montipora capitata","Susceptible","2023"
"50",206,2.20553171110202,2023-09-15,"Montipora capitata","Resistant","2023"
"51",209,1.64496358449544,2023-09-15,"Montipora capitata","Susceptible","2023"
"52",210,2.17267636811268,2023-09-15,"Montipora capitata","Resistant","2023"
"53",211,1.67161013506729,2023-09-14,"Montipora capitata","Susceptible","2023"
"54",212,2.12233556952943,2023-09-14,"Montipora capitata","Resistant","2023"
"55",214,2.01136137653897,2023-09-14,"Montipora capitata","Resistant","2023"
"56",219,1.97518623682924,2023-09-14,"Montipora capitata","Susceptible","2023"
"57",220,2.67069719298552,2023-09-14,"Montipora capitata","Resistant","2023"
"58",221,1.66879717995425,2023-09-14,"Montipora capitata","Susceptible","2023"
"59",225,3.79669942613051,2023-09-15,"Porites compressa","Susceptible","2023"
"60",226,5.15866778852496,2023-09-15,"Porites compressa","Resistant","2023"
"61",233,4.77872258987633,2023-09-15,"Porites compressa","Susceptible","2023"
"62",234,4.6481242012898,2023-09-15,"Porites compressa","Resistant","2023"
"63",235,4.30639417046812,2023-09-14,"Porites compressa","Susceptible","2023"
"64",236,2.63711150056968,2023-09-14,"Porites compressa","Resistant","2023"
"65",239,2.61097586121269,2023-09-15,"Porites compressa","Susceptible","2023"
"66",240,3.97851430711582,2023-09-15,"Porites compressa","Resistant","2023"
"67",241,4.54332233351627,2023-09-15,"Porites compressa","Susceptible","2023"
"68",242,4.22243872083716,2023-09-15,"Porites compressa","Resistant","2023"
"69",244,6.00596189379303,2023-09-14,"Porites compressa","Resistant","2023"
"70",247,2.79036706287453,2023-09-14,"Porites compressa","Susceptible","2023"
"71",248,4.80999837444256,2023-09-14,"Porites compressa","Resistant","2023"
"72",3,1.48282800637193,2023-09-15,"Montipora capitata","Susceptible","2023"
"73",4,1.42588469537425,2023-09-15,"Montipora capitata","Resistant","2023"
"74",41,2.3740916527036,2023-09-15,"Porites compressa","Susceptible","2023"
"75",42,5.12600545547811,2023-09-15,"Porites compressa","Resistant","2023"
"76",43,3.86747734189177,2023-09-15,"Porites compressa","Susceptible","2023"
"77",44,3.73746903227505,2023-09-15,"Porites compressa","Resistant","2023"
"78",45,2.749582743187,2023-09-15,"Porites compressa","Susceptible","2023"
"79",46,1.95579814291739,2023-09-15,"Porites compressa","Resistant","2023"
"80",247,3.73621003748182,2025-10-02,"Porites compressa","Susceptible","2025"
"81",243,6.47623728383191,2025-10-02,"Porites compressa","Susceptible","2025"
"82",225,3.15810582220936,2025-10-02,"Porites compressa","Susceptible","2025"
"83",204,2.12733303321956,2025-10-02,"Montipora capitata","Resistant","2025"
"84",238,3.03925709474324,2025-10-02,"Porites compressa","Resistant","2025"
"85",203,2.07580009325934,2025-10-02,"Montipora capitata","Susceptible","2025"
"86",241,2.87726272799622,2025-10-02,"Porites compressa","Susceptible","2025"
"87",205,2.6063797400105,2025-10-02,"Montipora capitata","Susceptible","2025"
"88",209,1.05062804196836,2025-10-02,"Montipora capitata","Susceptible","2025"
"89",3,0.803070146060513,2025-10-02,"Montipora capitata","Susceptible","2025"
"90",235,5.85213557903259,2025-10-02,"Porites compressa","Susceptible","2025"
"91",237,4.75754245214875,2025-10-02,"Porites compressa","Susceptible","2025"
"92",236,2.97488874444198,2025-10-02,"Porites compressa","Resistant","2025"
"93",201,1.2065290353606,2025-10-02,"Montipora capitata","Susceptible","2025"
"94",214,2.3527854063931,2025-10-02,"Montipora capitata","Resistant","2025"
"95",12,1.81296898113361,2025-10-02,"Montipora capitata","Resistant","2025"
"96",2,2.13817364882548,2025-10-02,"Montipora capitata","Resistant","2025"
"97",242,3.63719973180977,2025-10-02,"Porites compressa","Resistant","2025"
"98",213,1.72783210060972,2025-10-02,"Montipora capitata","Susceptible","2025"
"99",240,4.29240847092258,2025-10-02,"Porites compressa","Resistant","2025"
"100",248,4.12032978284979,2025-10-02,"Porites compressa","Resistant","2025"
"101",43,4.01738829577397,2025-10-02,"Porites compressa","Susceptible","2025"
"102",244,3.89073043483512,2025-10-02,"Porites compressa","Resistant","2025"
"103",234,3.29675741761821,2025-10-02,"Porites compressa","Resistant","2025"
"104",211,1.63131306031482,2025-10-02,"Montipora capitata","Susceptible","2025"
"105",19,2.31155772169738,2025-10-02,"Montipora capitata","Susceptible","2025"
"106",206,3.03802857745185,2025-10-02,"Montipora capitata","Resistant","2025"
"107",20,1.67682907745295,2025-10-02,"Montipora capitata","Resistant","2025"
"108",202,1.82029269011564,2025-10-02,"Montipora capitata","Resistant","2025"
"109",233,3.13380863695668,2025-10-02,"Porites compressa","Susceptible","2025"
"110",44,3.85802064768817,2025-10-02,"Porites compressa","Resistant","2025"
"111",226,4.79942461944556,2025-10-02,"Porites compressa","Resistant","2025"
"112",210,2.6956779209094,2025-10-02,"Montipora capitata","Resistant","2025"
"113",42,4.41093432171275,2025-10-02,"Porites compressa","Resistant","2025"
"114",239,5.55909308215022,2025-10-02,"Porites compressa","Susceptible","2025"
"115",4,1.33314886007712,2025-10-02,"Montipora capitata","Resistant","2025"
"116",41,4.81575289471484,2025-10-02,"Porites compressa","Susceptible","2025"
"117",221,2.18659934030322,2025-10-02,"Montipora capitata","Susceptible","2025"
